SHIP,CRUISE,STATION,DATE,longitude,latitude,oxygen,LEG,TIME,CAST,BOTDEPTH_M,WATERDEPTH,site_id,imageName,nGoodPixels,matchSpec_CV,time_sep_days,avw,PRrs346,PRrs348,PRrs351,PRrs353,PRrs356,PRrs358,PRrs361,PRrs363,PRrs366,PRrs368,PRrs371,PRrs373,PRrs375,PRrs378,PRrs380,PRrs383,PRrs385,PRrs388,PRrs390,PRrs393,PRrs395,PRrs398,PRrs400,PRrs403,PRrs405,PRrs408,PRrs410,PRrs413,PRrs415,PRrs418,PRrs420,PRrs422,PRrs425,PRrs427,PRrs430,PRrs432,PRrs435,PRrs437,PRrs440,PRrs442,PRrs445,PRrs447,PRrs450,PRrs452,PRrs455,PRrs457,PRrs460,PRrs462,PRrs465,PRrs467,PRrs470,PRrs472,PRrs475,PRrs477,PRrs480,PRrs482,PRrs485,PRrs487,PRrs490,PRrs492,PRrs495,PRrs497,PRrs500,PRrs502,PRrs505,PRrs507,PRrs510,PRrs512,PRrs515,PRrs517,PRrs520,PRrs522,PRrs525,PRrs527,PRrs530,PRrs532,PRrs535,PRrs537,PRrs540,PRrs542,PRrs545,PRrs547,PRrs550,PRrs553,PRrs555,PRrs558,PRrs560,PRrs563,PRrs565,PRrs568,PRrs570,PRrs573,PRrs575,PRrs578,PRrs580,PRrs583,PRrs586,PRrs588,PRrs613,PRrs615,PRrs618,PRrs620,PRrs623,PRrs625,PRrs627,PRrs630,PRrs632,PRrs635,PRrs637,PRrs640,PRrs641,PRrs642,PRrs643,PRrs645,PRrs646,PRrs647,PRrs648,PRrs650,PRrs651,PRrs652,PRrs653,PRrs655,PRrs656,PRrs657,PRrs658,PRrs660,PRrs661,PRrs662,PRrs663,PRrs665,PRrs666,PRrs667,PRrs668,PRrs670,PRrs671,PRrs672,PRrs673,PRrs675,PRrs676,PRrs677,PRrs678,PRrs679,PRrs681,PRrs682,PRrs683,PRrs684,PRrs686,PRrs687,PRrs688,PRrs689,PRrs691,PRrs692,PRrs693,PRrs694,PRrs696,PRrs697,PRrs698,PRrs699,PRrs701,PRrs702,PRrs703,PRrs704,PRrs706,PRrs707,PRrs708,PRrs709,PRrs711,PRrs712,PRrs713,PRrs714,PRrs717,PRrs719
OREGON II,352,1,2024-06-04 00:00:00,-89.99683333,28.50133333,4.0673,1,18:20:56,1,103,101.0,352_1,PACE_OCI.20240603T175658.L2.OC_AOP.V3_1.nc,6,0.2166209,1,460.03384,0.010442002,0.010546001,0.011008,0.0113010015,0.0115100015,0.011829002,0.012071,0.012167001,0.012382003,0.012488,0.0125130005,0.012849001,0.012847003,0.012474,0.012605,0.013224,0.0135200005,0.013298001,0.013164001,0.013372,0.013725001,0.013691001,0.013180001,0.012880001,0.012728,0.012594001,0.012459001,0.012366001,0.012326,0.012249,0.012033001,0.011841999,0.011667,0.01162,0.0116530005,0.011397,0.011044001,0.010841003,0.010620002,0.010314001,0.010046,0.009809002,0.009502001,0.009304002,0.00922,0.009104,0.009008002,0.008889001,0.008800002,0.0086170025,0.008411001,0.008213,0.008005001,0.007805001,0.0076140016,0.0074739996,0.0074000005,0.0072339997,0.006894,0.006608002,0.0062610004,0.0058970004,0.0055369996,0.005186001,0.004800001,0.004401,0.003929002,0.0035980009,0.0034310017,0.0033110008,0.003208002,0.0030980017,0.003037002,0.002987001,0.0028600004,0.0027380008,0.0026750006,0.002587,0.0024800003,0.0023780018,0.0022610016,0.002173001,0.0020550024,0.0019860007,0.0019390006,0.0018490013,0.0017800014,0.0017320011,0.001658,0.0015310012,0.0014060009,0.0012660008,0.0011400003,0.0010890011,0.0010840017,0.0010510013,0.0010080002,0.000957001,0.0004930012,0.00047900155,0.00044800155,0.0004470013,0.0004180018,0.0003500022,0.0003379993,0.00030700117,0.00030300207,0.00031700172,0.00031000003,0.00031700172,0.00033400021,0.0003180001,0.00031600147,0.00030500256,0.00028100237,0.0002870001,0.0002900008,0.00028900057,0.00030900165,0.00030000135,0.0002820026,0.00028000027,0.00027200207,0.00026600063,0.00029300153,0.00029300153,0.0003030002,0.0003050007,0.00030900165,0.0003180001,0.00031500123,0.00032900088,0.00032900088,0.00032500178,0.00032600015,0.00033000112,0.00034000166,0.00034800172,0.00033700094,0.00032900088,0.00032200105,0.000314001,0.000314001,0.00030700117,0.0002770014,0.0002720002,0.0002610013,0.0002629999,0.00024200045,0.00020800158,0.00014900044,0.000118002295,0.00012900122,0.00015299954,0.00016300194,0.00014200062,0.000115001574,0.00010400079,8.500181e-05,9.000115e-05,6.500073e-05,5.3999946e-05,3.8001686e-05,2.0001084e-05,1.5001744e-05,1.0000542e-05,2.5000423e-05,2.0001084e-05,-1.099892e-05,-2.899766e-05,1.6000122e-05,0.00016400218
OREGON II,352,2,2024-06-04 00:00:00,-90.1215,28.363,4.4879,1,21:53:52,1,76,78.0,352_2,PACE_OCI.20240603T175658.L2.OC_AOP.V3_1.nc,6,,1,460.42047,0.009786002,0.010448001,0.010792002,0.011204001,0.011631999,0.011752002,0.011866,0.012198001,0.0124320015,0.012359999,0.012398001,0.012949999,0.013038002,0.012596,0.012614001,0.013273999,0.013560001,0.013321999,0.013048001,0.013314001,0.013938002,0.013852,0.013364002,0.012914002,0.012756001,0.012696002,0.012612,0.012528002,0.012394,0.012332,0.012180001,0.011956003,0.011752002,0.011692002,0.011810001,0.011585999,0.011138,0.010980003,0.010744002,0.010402001,0.010204002,0.009970002,0.009652,0.009476002,0.009336002,0.009146001,0.009084001,0.008994002,0.008908,0.008614,0.00838,0.00829,0.008046001,0.007864002,0.007740002,0.0075720027,0.0074199997,0.007282,0.006992001,0.006640002,0.006222002,0.0058699995,0.0055899993,0.0052580014,0.0048660003,0.0044899993,0.004006002,0.0035840012,0.0033360012,0.0032320023,0.0031400025,0.0030380003,0.0029800013,0.0028680004,0.0027879998,0.0027340017,0.0026240014,0.0025320016,0.002448,0.0023979992,0.0023219995,0.002158001,0.0020480007,0.001960002,0.0018700026,0.0018160008,0.0017639995,0.0017039999,0.0016419999,0.0015319996,0.0014120005,0.0012999997,0.0011560023,0.0010880008,0.0010519996,0.0010180026,0.0009899996,0.0010160021,0.0005380027,0.00047799945,0.00047000125,0.00045400113,0.0003940016,0.00034200028,0.00036799908,0.00038599968,0.00036200136,0.00037800148,0.00038599968,0.00039999932,0.00041000172,0.00039600208,0.00036600232,0.00032800063,0.00032800063,0.00036200136,0.00039800256,0.00044200197,0.00044400245,0.00041799992,0.00041599944,0.0003940016,0.00038599968,0.00036000088,0.0003399998,0.00032399967,0.00032000244,0.0003379993,0.00032399967,0.00035200268,0.00034200028,0.0003320016,0.00035399944,0.0003399998,0.00035399944,0.0003379993,0.00031800196,0.00030400231,0.00028400123,0.00029000267,0.00029800087,0.00032399967,0.00032600015,0.00032399967,0.00030000135,0.00025800243,0.00025800243,0.00028200075,0.00030799955,0.00030000135,0.00022200122,0.0001800023,0.00022200122,0.00026600063,0.00028200075,0.000252001,0.0002060011,0.00019600242,0.0002060011,0.00020800158,0.00018399954,0.0001519993,0.00011999905,9.199977e-05,8.800253e-05,7.000193e-05,7.000193e-05,5.7999045e-05,0.0,-1.9997358e-05,6.200001e-05,0.0003320016
OREGON II,352,1,2024-06-04 00:00:00,-89.99683333,28.50133333,4.0673,1,18:20:56,1,103,101.0,352_1,PACE_OCI.20240603T180158.L2.OC_AOP.V3_1.nc,9,-0.14319266,1,465.69293,0.00629,0.0068040006,0.0069420002,0.006848,0.007116001,0.0076100007,0.007654,0.007830001,0.00784,0.007814001,0.007874001,0.008082002,0.008246001,0.008030001,0.008140001,0.008576002,0.00874,0.008686002,0.008516002,0.008522,0.008886002,0.008958001,0.008640002,0.008377999,0.008330002,0.008228,0.008170001,0.008177999,0.008108001,0.008032002,0.007896002,0.007897999,0.007835999,0.007812001,0.007920001,0.0078040026,0.007649999,0.0075200014,0.0073660016,0.007231999,0.007100001,0.0070560016,0.006964002,0.006868001,0.0068619996,0.006836001,0.006856002,0.006852001,0.006806001,0.0066100024,0.0064780004,0.006464001,0.0063659996,0.0063000023,0.006264001,0.006174002,0.006108001,0.0060099997,0.005802002,0.005616002,0.005412001,0.0052039996,0.0049440004,0.0046380013,0.0043320023,0.0040140003,0.0036740005,0.0034160018,0.0032240003,0.0031500012,0.0030799992,0.003010001,0.002952002,0.002886001,0.0027680025,0.00268,0.0026360005,0.002567999,0.0024800003,0.0023580007,0.0022260025,0.0021219999,0.0020419993,0.001976002,0.0019039996,0.0018419996,0.0017820001,0.0017179996,0.0016520023,0.0015660003,0.0014480017,0.0013260022,0.0012260005,0.0011200011,0.0010560006,0.0010020025,0.0009320006,0.0007540025,0.00041799992,0.00040600076,0.00039800256,0.00037800148,0.00034800172,0.00029199943,0.00024800003,0.00024399906,0.00024599954,0.00025400147,0.0002779998,0.00027200207,0.0002759993,0.00026600063,0.00024200231,0.00021200255,0.00017600134,0.0001440011,0.00016000122,0.00016000122,0.00019000098,0.00019000098,0.0001620017,0.00016400218,0.00016400218,0.00017200038,0.00018399954,0.0002060011,0.00020400062,0.0002139993,0.00021200255,0.00022999942,0.00023400038,0.00023800135,0.0002319999,0.00022600219,0.00021599978,0.00020400062,0.00020400062,0.00021000206,0.0002139993,0.00021000206,0.00021200255,0.00020400062,0.00020400062,0.00019000098,0.00017800182,0.00017400086,0.00017400086,0.00017800182,0.0001800023,0.00015600026,9.400025e-05,5.2001327e-05,3.4000725e-05,4.3999404e-05,5.2001327e-05,4.5999885e-05,2.6002526e-05,6.0014427e-06,1.3999641e-05,1.0002404e-05,2.2001565e-05,8.001924e-06,1.199916e-05,-2.000481e-06,0.0,-1.6000122e-05,-7.998198e-06,-7.998198e-06,-1.3999641e-05,-3.2000244e-05,-3.9998442e-05,4.000962e-06
OREGON II,352,2,2024-06-04 00:00:00,-90.1215,28.363,4.4879,1,21:53:52,1,76,78.0,352_2,PACE_OCI.20240603T180158.L2.OC_AOP.V3_1.nc,9,0.10353365,1,465.72235,0.0067519993,0.0070140027,0.007244002,0.0074819997,0.0077020004,0.008129999,0.008124001,0.0083220005,0.008414,0.008298002,0.008328002,0.008710001,0.008792002,0.008514002,0.008618001,0.009032,0.009258002,0.009042002,0.008948002,0.009134002,0.009460002,0.009436,0.009026002,0.00877,0.008722,0.008568,0.0085120015,0.008448001,0.008416001,0.008404002,0.008252002,0.008226,0.008126002,0.008124001,0.008190002,0.008138001,0.0079,0.007786002,0.007649999,0.0073780008,0.0072760023,0.0072620027,0.0071800016,0.0070860013,0.0071020015,0.0070479997,0.0070019998,0.006972,0.0068860017,0.006719999,0.0066100024,0.006522,0.0064160004,0.0063780025,0.0063039996,0.006202001,0.0061560012,0.0060680024,0.0058740005,0.00564,0.005396001,0.00516,0.004942,0.004648,0.004300002,0.004012,0.0036740005,0.0033439994,0.0031680018,0.0031160004,0.0030580014,0.002944,0.0029099993,0.0028300025,0.0027780011,0.002696,0.0026019998,0.0025280006,0.002432,0.0023180023,0.0022320002,0.0021260008,0.0020279996,0.0019580014,0.0018940009,0.0018259995,0.0017720014,0.0017159991,0.0016640015,0.0015459992,0.0014239997,0.0013360009,0.0012219995,0.0011340007,0.0010880008,0.0010260008,0.00091800094,0.0007760003,0.0004740022,0.0004740022,0.0004639998,0.00042800233,0.00038599968,0.0003580004,0.0003320016,0.00030799955,0.0003120005,0.00030799955,0.00032000244,0.00033000112,0.0003399998,0.00032000244,0.00030000135,0.0002700016,0.00022000074,0.00021599978,0.00021200255,0.00024000183,0.0002500005,0.0002500005,0.00023600087,0.00024200231,0.00024399906,0.00022800267,0.00024000183,0.00024599954,0.00025600195,0.0002759993,0.00028200075,0.0002939999,0.00030400231,0.00030000135,0.00030400231,0.00030200183,0.00030799955,0.00030200183,0.00031000003,0.0002960004,0.0002939999,0.00029199943,0.00029800087,0.00029000267,0.00029199943,0.00028200075,0.0002700016,0.00025600195,0.00024000183,0.00023800135,0.00022200122,0.00019799918,0.00015800074,0.000116001815,0.000116001815,0.000104002655,0.000118002295,0.000102002174,7.599965e-05,6.800145e-05,4.2002648e-05,4.2002648e-05,4.3999404e-05,3.4000725e-05,3.2000244e-05,1.6000122e-05,6.0014427e-06,1.3999641e-05,1.0002404e-05,1.0002404e-05,6.0014427e-06,-2.7999282e-05,-2.5998801e-05,3.2000244e-05
OREGON II,352,1,2024-06-04 00:00:00,-89.99683333,28.50133333,4.0673,1,18:20:56,1,103,101.0,352_1,PACE_OCI.20240603T193517.L2.OC_AOP.V3_1.nc,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREGON II,352,2,2024-06-04 00:00:00,-90.1215,28.363,4.4879,1,21:53:52,1,76,78.0,352_2,PACE_OCI.20240603T193517.L2.OC_AOP.V3_1.nc,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREGON II,352,1,2024-06-04 00:00:00,-89.99683333,28.50133333,4.0673,1,18:20:56,1,103,101.0,352_1,PACE_OCI.20240604T183645.L2.OC_AOP.V3_1.nc,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREGON II,352,2,2024-06-04 00:00:00,-90.1215,28.363,4.4879,1,21:53:52,1,76,78.0,352_2,PACE_OCI.20240604T183645.L2.OC_AOP.V3_1.nc,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREGON II,352,3,2024-06-05 00:00:00,-90.17366667,28.30283333,4.8144,1,1:08:48,1,85,87.0,352_3,PACE_OCI.20240604T183645.L2.OC_AOP.V3_1.nc,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREGON II,352,4,2024-06-05 00:00:00,-90.60933333,28.35416667,6.5312,1,7:38:23,1,49,49.8,352_4,PACE_OCI.20240604T183645.L2.OC_AOP.V3_1.nc,9,,1,472.36072,0.014302,0.014326002,0.014264002,0.014108002,0.014095999,0.014212001,0.014168002,0.014206,0.014176,0.014090002,0.014026001,0.013962001,0.014090002,0.013769999,0.013528001,0.013734002,0.013734002,0.013537999,0.013402,0.013256002,0.013512,0.013372,0.012946002,0.012648001,0.012499999,0.012292001,0.012127999,0.012008,0.011964001,0.01182,0.011644002,0.0114939995,0.011290003,0.011192001,0.0112,0.011100002,0.010884002,0.010706,0.010526001,0.010344002,0.010097999,0.009970002,0.009868,0.009708002,0.009666,0.009568002,0.009516001,0.009476002,0.009366002,0.0092360005,0.009146001,0.009132002,0.0090459995,0.008834001,0.008712001,0.0085700005,0.008464001,0.008314002,0.008066002,0.0077800006,0.007592,0.007277999,0.006996002,0.006836001,0.006662,0.0062099993,0.00564,0.005116001,0.004838001,0.0046700016,0.0045720004,0.004416,0.004384,0.004276,0.0041499995,0.0040080026,0.0038940012,0.003866002,0.0037779994,0.0036859997,0.003506001,0.0033139996,0.0030600019,0.0028980002,0.00282,0.0027280003,0.0026660003,0.0026200004,0.0024700016,0.0025120005,0.002432,0.0022759996,0.0020599999,0.0019700006,0.0018460006,0.001786001,0.0017959997,0.002038002,0.0010260008,0.0010100007,0.00097000226,0.00095200166,0.00095200166,0.0009200014,0.0010740012,0.0010860004,0.00094199926,0.0008680001,0.0008639991,0.0008380003,0.00080800056,0.00081799924,0.00085400045,0.0009200014,0.0010260008,0.001095999,0.0011540018,0.0011560023,0.0011279993,0.0010940023,0.0010740012,0.0010280013,0.00096200034,0.0009060018,0.0008600019,0.00080800056,0.00077399984,0.00078400224,0.0007700026,0.00073800236,0.0007500015,0.0007340014,0.0007240027,0.00069399923,0.00065600127,0.0006339997,0.0005820021,0.00057600066,0.0005800016,0.0005740002,0.0005840026,0.00063000247,0.0006360002,0.0006420016,0.0006360002,0.0006920025,0.00081799924,0.0010059997,0.0011899993,0.0012379996,0.0011340007,0.0009780005,0.0009400025,0.0009200014,0.0009040013,0.0008659996,0.0008700006,0.00090800226,0.0009240024,0.0008959994,0.0008400008,0.0008199997,0.0007980019,0.00075599924,0.0007140003,0.0006980002,0.00066800043,0.00066399947,0.00043199956,0.00055000186,0.0002240017,0.00019999966
