lsu_Station,lsu_Date,lsu_Time.CTD.Cast.began..UTC.,lsu_Lat,lsu_Long,lsu_Corrected.DO..mg.L.,lsu_Surface.Sal..psu.,lsu_Surface.Chl...µg.L.,usm_Lat_actual,usm_Lon_actual,usm_hypClass,usm_maxDepth_m,usm_DOatMaxD,usm_minHypD,usm_maxHypD,usm_DOminHypD,usm_DOmaxHypD,usm_hypThick_m,haver_distance_m,usm_labels
A1,7/22/2024,12:32,29.2886,-89.7498,0.5,16.96,21.73,29.2899,-89.7497,1,6.8294,0.04791674,5.53992,6.8294,1.98652952,0.04791674,1.28948,144.8783551,A1
A2,7/22/2024,11:48,29.2393,-89.75,0.33,18.06,19.64,29.241,-89.75,1,11.13094,0.01365851,7.83232,11.13094,1.81747747,0.01365851,3.29862,189.0313753,A2
A3,7/22/2024,10:30,29.177,-89.7505,1.08,22.11,15.49,29.1782,-89.75,1,15.99714,0.71494463,9.18021,15.99714,1.99436637,0.71494463,6.81693,141.9894979,A3
A4,7/22/2024,9:47,29.1326,-89.7499,1.67,25.48,1.61,29.1333,-89.7499,1,20.88085,1.24628306,9.45179,20.88085,1.94533008,1.24628306,11.42906,77.83644865,A4
A5,7/22/2024,8:53,29.07,-89.75,3.26,25.88,1.38,29.0702,-89.75,1,30.29269,2.72252169,NA,NA,NA,NA,0,22.23898533,A5
A6,7/22/2024,7:52,29.0083,-89.75,3.42,25.28,1.69,29.0083,-89.7498,0,39.89175,2.84880693,NA,NA,NA,NA,0,19.44909277,A6
B1,7/22/2024,16:49,29.0763,-90.2074,0.35,27.15,13.15,29.0761,-90.2077,1,8.52958,0.02597356,5.72798,8.52958,1.31032132,0.02597356,2.8016,36.66816474,B1
B5,7/22/2024,18:53,29.0212,-90.1067,1.1,28.44,1.7,29.021,-90.1057,1,17.92245,0.86474042,14.68633,17.92245,1.9793644,0.86474042,3.23612,99.74422023,B5
B6,7/22/2024,19:35,28.9939,-90.0772,3.21,28.57,0.95,28.9934,-90.0765,0,21.92649,2.55817175,NA,NA,NA,NA,0,87.89860631,B6
C1,7/23/2024,7:17,29.0559,-90.5337,2.53,26.41,5.35,29.0555,-90.5314,0,5.72969,5.2148639,NA,NA,NA,NA,0,227.9434317,C1
C3,7/23/2024,5:23,28.9909,-90.5208,0.3,26.72,4.07,28.9907,-90.5207,1,11.63128,0.02283882,9.08587,11.63128,1.64417113,0.02283882,2.54541,24.27285102,C3
C4,7/23/2024,4:24,28.95,-90.524,0.35,27.18,1.85,28.9499,-90.5243,1,13.83387,0.03649733,9.20414,13.83387,1.2203095,0.03649733,4.62973,31.23627638,C4
C5,7/23/2024,3:09,28.915,-90.4883,0.58,27.92,1.27,28.9147,-90.4892,1,16.904,0.29645684,10.81481,16.904,1.66857732,0.29645684,6.08919,93.73654596,C5
C6C,7/23/2024,2:22,28.8697,-90.4915,2.35,28.25,0.88,28.86846,-90.49034,1,19.39212,1.46280403,18.09892,19.39212,1.8920395,1.46280403,1.2932,178.2428461,C6C
C7,7/23/2024,1:17,28.8315,-90.3902,3.31,30.25,0.87,28.8323,-90.3922,1,21.0675,2.03399844,NA,NA,NA,NA,0,214.1699897,C7
C8,7/22/2024,21:47,28.7877,-90.277,2.56,29.77,1.4,28.7904,-90.2773,0,23.77248,2.18916807,NA,NA,NA,NA,0,301.646377,C8
C9B,7/22/2024,23:35,28.7416,-90.2011,2.96,29.49,1.24,28.7427,-90.2007,0,32.0335,2.22320239,NA,NA,NA,NA,0,128.3809093,C9B
C9old,7/22/2024,22:51,28.7578,-90.2331,1.9,29.57,1.21,28.759,-90.2338,1,29.27211,1.97846876,26.43161,29.27211,1.98496215,1.97846876,2.8405,149.8690572,C9old
D0,7/23/2024,22:20,29.015,-90.8333,2.88,22.96,13.63,29.0141,-90.8329,0,5.13951,2.52279397,NA,NA,NA,NA,0,107.3684231,D0
D1,7/23/2024,21:42,28.9835,-90.833,0.59,23.6,11.34,28.9419,-90.8331,1,10.65631,0.09695303,7.28913,10.65631,1.86091601,0.09695303,3.36718,4625.719179,D1
D2,7/23/2024,20:15,28.8412,-90.8336,0.21,28.34,1.62,28.8417,-90.8284,1,16.04041,0.02843657,10.39829,16.04041,1.61998885,0.02843657,5.64212,509.533133,D2
D3,7/23/2024,19:03,28.7157,-90.8335,0.74,29.02,0.79,28.7155,-90.8323,1,18.07278,0.41938343,11.96622,18.07278,1.80068422,0.41938343,6.10656,119.1179827,D3
D4,7/23/2024,16:12,28.6084,-90.8337,1.81,32.29,0.65,28.608,-90.8327,1,19.17423,1.10074156,12.39235,19.17423,1.2135922,1.10074156,6.78188,107.2748002,D4
D5,7/23/2024,17:18,28.4996,-90.8332,4.73,33.32,0.88,28.4999,-90.8331,0,33.02302,3.72093638,NA,NA,NA,NA,0,34.76032939,D5
E1,7/24/2024,1:04,28.9659,-91.2494,0.33,1.15,25.68,28.96648,-91.25071,1,5.48398,0.61015475,4.79434,5.48398,1.12290865,0.61015475,0.68964,142.8327159,E1
E2,7/24/2024,2:16,28.8581,-91.2498,1.04,23.57,9.07,28.8581,-91.2504,1,8.92093,0.98945829,5.94234,8.92093,1.51273596,0.98945829,2.97859,58.43189187,E2
E2A,7/24/2024,3:25,28.7423,-91.251,0.81,31.07,3.53,28.7415,-91.2403,1,15.40766,0.27182674,11.67111,15.40766,1.47153652,0.27182674,3.73655,1046.983734,E2A
E3,7/24/2024,4:33,28.6585,-91.2504,1.35,31.43,3.04,28.6399,-91.2468,1,24.07779,0.81033029,20.43583,24.07779,1.30405184,0.81033029,3.64196,2097.847553,E3
E4,7/24/2024,5:42,28.5841,-91.2488,4.62,34.44,1.23,28.55044,-91.23377,0,32.21621,4.18219098,NA,NA,NA,NA,0,4020.339659,E4
E5,7/24/2024,6:54,28.4837,-91.2497,5.85,35.7,0.23,28.47,-91.2469,0,43.7431,4.99587992,NA,NA,NA,NA,0,1547.758452,E5
F0,7/24/2024,15:30,29.2733,-91.6172,3.33,14.06,14.94,29.27301,-91.61656,0,4.13736,3.83468266,NA,NA,NA,NA,0,69.95270377,F0
F1,7/24/2024,14:40,29.1827,-91.6169,0.52,22.37,15.52,29.0498,-91.6169,0,7.73164,2.34142687,NA,NA,NA,NA,0,14777.80575,F1
F2A,7/24/2024,12:31,28.9484,-91.5786,0.44,25.97,5.03,28.9482,-91.579,1,15.63336,0.03000394,9.89812,15.63336,1.9860817,0.03000394,5.73524,44.8263019,F2A
F3,7/24/2024,11:45,28.8835,-91.6165,4.28,27.97,3.74,28.8833,-91.6169,0,19.8272,2.86448063,NA,NA,NA,NA,0,44.84745468,F3
F4,7/24/2024,10:49,28.7832,-91.6165,4.87,30.25,1.09,28.7834,-91.6165,0,24.68891,2.18715288,NA,NA,NA,NA,0,22.23898533,F4
F5,7/24/2024,9:52,28.6928,-91.6167,5.06,33.31,0.45,28.69165,-91.61661,0,30.08214,3.62465508,NA,NA,NA,NA,0,128.1751471,F5
G1,7/24/2024,18:02,29.2574,-92,0.41,19.13,23.9,29.25847,-91.99983,1,8.41522,0.11441801,6.78522,8.41522,1.45116071,0.11441801,1.63,120.1160873,G1
G2,7/24/2024,19:15,29.1334,-92.001,0.26,28.55,3.57,29.13319,-91.99997,1,11.95807,0.06224698,8.34965,11.95807,1.43660656,0.06224698,3.60842,102.7304861,G2
G3,7/24/2024,20:40,28.9831,-91.9995,4.4,30.18,0.48,28.983,-91.99995,0,19.67599,4.2789201,NA,NA,NA,NA,0,45.16144944,G3
G4,7/24/2024,21:35,28.8994,-92,5.63,30.31,1.51,28.8997,-92,0,24.79648,4.55634459,NA,NA,NA,NA,0,33.35847799,G4
G5,7/24/2024,22:42,28.7915,-91.9994,4.57,34.21,0.46,28.7915,-92.0005,0,2.27413,5.24285265,NA,NA,NA,NA,0,107.1936833,G5
