Name,lsu_Date,Long,Lat,Lat,SST
A1,22-07-2024,-89.750,29.290,29.2899,29.28
A2,22-07-2024,-89.750,29.241,29.241,29.36
A3,22-07-2024,-89.750,29.178,29.1782,29.84
A4,22-07-2024,-89.750,29.133,29.1333,29.76
A5,22-07-2024,-89.750,29.070,29.0702,29.68
A6,22-07-2024,-89.750,29.008,29.0083,29.72
B1,22-07-2024,-90.208,29.076,29.0761,32.04
B5,22-07-2024,-90.106,29.021,29.021,NaN
B6,22-07-2024,-90.076,28.993,28.9934,29.12
C8,22-07-2024,-90.277,28.790,28.7904,NaN
C9B,22-07-2024,-90.201,28.743,28.7427,30.67
C9old,22-07-2024,-90.234,28.759,28.759,NaN
C1,23-07-2024,-90.534,29.056,29.0559,31.25
C3,23-07-2024,-90.521,28.991,28.9909,31.48
C4,23-07-2024,-90.524,28.950,28.95,31.12
C5,23-07-2024,-90.488,28.915,28.915,30.33
C6C,23-07-2024,-90.492,28.870,28.8697,29.87
C7,23-07-2024,-90.390,28.832,28.8315,30.26
D0,23-07-2024,-90.833,29.015,29.015,29.91
D1,23-07-2024,-90.833,28.984,28.9835,21.02
D2,23-07-2024,-90.834,28.841,28.8412,30.4
D3,23-07-2024,-90.833,28.716,28.7157,30.27
D4,23-07-2024,-90.834,28.608,28.6084,25.25
D5,23-07-2024,-90.833,28.500,28.4996,16.75
E1,24-07-2024,-91.249,28.966,28.9659,NaN
E2,24-07-2024,-91.250,28.858,28.8581,23.74
E2A,24-07-2024,-91.251,28.742,28.7423,NaN
E3,24-07-2024,-91.250,28.659,28.6585,29.36
E4,24-07-2024,-91.249,28.584,28.5841,29.16
E5,24-07-2024,-91.250,28.484,28.4837,17.92
F0,24-07-2024,-91.617,29.273,29.2733,19.65
F1,24-07-2024,-91.617,29.183,29.1827,NaN
F2A,24-07-2024,-91.579,28.948,28.9484,NaN
F3,24-07-2024,-91.617,28.884,28.8835,NaN
F4,24-07-2024,-91.617,28.783,28.7832,NaN
F5,24-07-2024,-91.617,28.693,28.6928,NaN
G1,24-07-2024,-92.000,29.257,29.2574,NaN
G2,24-07-2024,-92.001,29.133,29.1334,NaN
G3,24-07-2024,-92.000,28.983,28.9831,NaN
G4,24-07-2024,-92.000,28.899,28.8994,NaN
G5,24-07-2024,-91.999,28.792,28.7915,NaN
