Name,lsu_Date,Lon,Lat,SST
A1,22-07-2024,-89.750,29.290,29.28
A2,22-07-2024,-89.750,29.241,29.36
A3,22-07-2024,-89.750,29.178,29.84
A4,22-07-2024,-89.750,29.133,29.76
A5,22-07-2024,-89.750,29.070,29.68
A6,22-07-2024,-89.750,29.008,29.72
B1,22-07-2024,-90.208,29.076,32.04
B5,22-07-2024,-90.106,29.021,NaN
B6,22-07-2024,-90.076,28.993,29.12
C8,22-07-2024,-90.277,28.790,NaN
C9B,22-07-2024,-90.201,28.743,30.67
C9old,22-07-2024,-90.234,28.759,NaN
C1,23-07-2024,-90.534,29.056,31.25
C3,23-07-2024,-90.521,28.991,31.48
C4,23-07-2024,-90.524,28.950,31.12
C5,23-07-2024,-90.488,28.915,30.33
C6C,23-07-2024,-90.492,28.870,29.87
C7,23-07-2024,-90.390,28.832,30.26
D0,23-07-2024,-90.833,29.015,29.91
D1,23-07-2024,-90.833,28.984,21.02
D2,23-07-2024,-90.834,28.841,30.4
D3,23-07-2024,-90.833,28.716,30.27
D4,23-07-2024,-90.834,28.608,25.25
D5,23-07-2024,-90.833,28.500,16.75
E1,24-07-2024,-91.249,28.966,NaN
E2,24-07-2024,-91.250,28.858,23.74
E2A,24-07-2024,-91.251,28.742,NaN
E3,24-07-2024,-91.250,28.659,29.36
E4,24-07-2024,-91.249,28.584,29.16
E5,24-07-2024,-91.250,28.484,17.92
F0,24-07-2024,-91.617,29.273,19.65
F1,24-07-2024,-91.617,29.183,NaN
F2A,24-07-2024,-91.579,28.948,NaN
F3,24-07-2024,-91.617,28.884,NaN
F4,24-07-2024,-91.617,28.783,NaN
F5,24-07-2024,-91.617,28.693,NaN
G1,24-07-2024,-92.000,29.257,NaN
G2,24-07-2024,-92.001,29.133,NaN
G3,24-07-2024,-92.000,28.983,NaN
G4,24-07-2024,-92.000,28.899,NaN
G5,24-07-2024,-91.999,28.792,NaN
